Source,y_var,X_num1,X_num2,X_num3,X_num4,X_num5,X_cat1,X_cat2,X_cat3,X_cat4,X_cat5
study 104,A,-1.4273161920697417,3.706559304072167,2.219426819696407,4.397797953922453,2.659089519450607,B,B,B,A,B
study 24,A,1.5626078720241665,2.5243924990404456,2.5928163968218896,3.030527056345984,7.7307726503293726,B,B,B,C,B
study 3,B,2.6047757480515585,1.176279534431424,1.4905959685117725,4.266068756371702,4.050276494064125,A,B,B,C,A
study 22,B,-0.36942210953601395,3.9045182594032006,2.484035892849306,0.8501901516714296,3.5378945138297464,B,A,B,B,A
study 53,B,1.65333377256222,4.050485649018265,2.9584266506319015,3.100188747098777,8.215529978815281,B,B,B,B,B
study 2,B,2.338395490555201,2.349808945977811,2.4427927502076745,5.6474938010410725,5.518754986693345,B,A,A,B,A
study 88,B,1.8800173127951207,2.090482871799458,2.7584077454792975,2.649356161803266,6.051149010808228,C,B,A,C,A
study 108,B,2.0215093581123353,0.01509346534234246,3.6075608151557796,4.888152941564715,6.099590173808226,B,B,B,C,A
study 30,B,0.6327996372905482,1.0887104864802857,4.8580436535965985,2.7740743749503842,4.691015425643295,A,B,B,A,B
study 38,B,-0.691256506610894,3.1411544629390304,4.966733802168896,5.1636784851898305,4.141392094720519,C,B,A,C,A
study 2,A,0.3292803064241304,1.1640795494559488,4.142132651095489,3.554336579202188,4.386113817593389,C,A,B,C,A
study 64,A,0.1209143471940628,-0.1852568040899838,1.1100277823425262,3.4950300934520713,7.413299418866051,A,B,B,B,B
study 60,B,0.8796114306886813,7.243816684400149,2.4593850216452195,4.081527217820525,5.305681329810213,B,A,B,B,B
study 21,A,2.639906358189895,-0.19510893764003256,2.5885724539310977,1.9848595493174566,6.969372559574205,C,B,B,B,B
study 33,A,-0.9677601922462531,5.3851270946511764,2.0142752538171536,5.458136228134691,4.885332309157253,C,A,B,B,A
study 76,B,1.2163750342260862,1.5388648331026102,3.51352676854441,5.955150162273606,3.8669246339843832,C,B,B,B,A
study 58,A,-0.5951024682767792,1.8731555012842878,0.608507260077813,3.4599527545075635,2.8366752891979186,B,B,B,A,B
study 22,A,-0.1100703767341571,0.9915825917186019,5.540349704292437,4.7863062563523195,5.97200477773106,C,A,B,A,A
study 108,B,1.8381111289177625,3.174255747106838,4.792831007282572,5.168366020318086,7.54114711761796,A,A,A,A,A
study 89,B,-0.7849175800485488,-0.15966131966512664,3.717303392852637,3.8631136715025574,3.6710404876302487,B,A,A,B,A
study 49,A,2.1013664345544676,-0.7604935543512581,2.906836005119723,2.3376292709232023,5.77005885295703,A,A,B,B,A
study 91,B,-1.0282466699370874,4.41525729406791,4.84325894260883,6.391123197927767,2.936576426478874,A,B,B,B,B
study 59,B,2.00047060515724,0.7940414017895332,4.034107405170401,3.411217442606802,4.166454984407164,C,A,B,A,B
study 42,A,-1.3242969043677677,3.119132179309527,4.659956676327139,3.0862978461792854,5.401905178061821,C,A,B,B,A
study 92,A,0.07328098111507675,0.37181588465567605,2.9114218766102398,6.458187897000888,2.407558871494397,C,A,A,A,B
study 60,B,3.8447415746943423,3.0626315643418733,5.683969628796251,4.915088151334305,4.9729651209059265,A,B,A,B,A
study 80,A,3.5628195546503294,4.525319748167675,4.7503318135347845,4.38614511408702,3.7449492898742816,B,B,A,C,A
study 15,A,0.381213021224282,1.2093179218773253,3.764304443153897,2.543859004896174,5.907138838607411,C,B,A,A,B
study 62,A,1.584940879044852,-0.9001616601789717,4.883959380646732,5.204206087319831,4.751899036769705,C,B,B,C,B
study 62,A,2.806102028327326,4.533190869964858,2.3712570872490417,8.34477790827962,6.409158529201375,A,A,B,A,A
study 47,A,2.021944261630707,3.389366482287337,1.24874946097946,5.320761495817809,4.580602569882777,B,B,B,B,A
study 62,A,0.5898036303177638,1.2896431493430378,3.4823257695712133,4.744132744438847,2.956430720255736,A,A,A,B,A
study 51,A,-0.12295297105449965,1.6730719200970308,2.914364331279797,5.081639194729144,2.769559878445602,C,B,B,C,A
study 108,A,2.3021547144368943,0.33402170562547084,2.703423986583556,3.507827000247186,2.1364857446630463,A,A,B,B,B
study 55,B,2.696054962921752,4.1303853986629395,4.824468059024104,3.493523905610277,5.949436748914984,C,A,A,A,B
study 116,A,3.573552751591582,1.1979265882840324,3.2507088198159457,3.474331773645675,8.83659637890349,B,A,A,B,A
study 64,B,-1.5308741351796065,-0.12806280632121014,3.3953536103032267,3.137575066919685,5.652857205777697,A,A,A,B,A
study 3,A,-0.8796871823015784,2.3204688222687073,2.5094211618688558,3.4713327013359736,7.508070323006511,C,A,A,A,B
study 101,B,2.742885403220621,0.7099799576321904,4.321684708919289,3.464339211626622,6.7003599361835295,C,B,A,C,A
study 51,A,-1.327295820125265,0.4549781362053378,4.0528136719618795,3.632973236748803,4.222495985188871,C,A,B,C,B
study 7,B,2.8578249323678993,1.3548511943570818,4.31048951534144,3.59098295262985,6.897973971485938,C,A,B,B,A
study 21,B,0.6776012410219119,2.129532973250556,2.254104050045732,4.364517785514551,4.282137962731228,A,A,A,A,B
study 73,A,0.21862927099497298,-0.0716646338721203,4.9561326900704925,4.118189527311769,4.311938195692461,C,A,B,C,A
study 39,B,1.308142894407204,4.0777233878184855,5.75815263564956,4.251043680267554,4.687111511095535,A,B,B,C,A
study 18,A,-1.0180526783532482,3.0157395680986814,4.263057595987059,6.283446345016724,4.758202966509304,C,B,B,B,A
study 4,A,2.2360222458975274,1.4519555138409033,1.7860675691335637,4.115101358074767,5.992054194779222,A,A,B,A,B
study 89,A,3.534455496542045,0.6449847705545031,1.7966965736456981,7.316336489201172,3.9936698961637918,A,A,A,C,B
study 60,A,2.3058643237213623,1.8661618206250035,2.4369345666103683,4.529034309733918,6.333654167874466,C,A,B,B,A
study 14,A,0.6302369611687888,3.349152561133583,2.1534341789722187,3.329110613675744,6.312116124547206,C,A,B,B,A
study 114,A,-1.3070535616481616,3.116876040799519,2.893361061469103,6.024374858570499,5.514445298666727,C,B,B,B,A
study 9,B,-1.2493811843043994,3.587756450676767,3.9486636995517714,3.880709098437702,7.909417862911168,C,B,A,B,A
study 90,A,-0.9944649533589616,1.279433763529517,3.434928661124773,0.4094737723988069,6.931088972987463,B,A,B,C,B
study 53,A,0.981582584331524,-2.3873877687950156,3.3034335845794334,3.993995287247224,6.604593935300697,C,A,A,A,B
study 2,A,1.170100094908907,3.87171679687437,2.6381958752997816,3.6262362430840636,5.099230061814877,C,A,A,B,B
study 84,A,2.302665266111493,1.749205785391472,2.889231109253176,6.409821079432502,5.527649206721488,C,A,A,B,A
study 92,A,-1.6940434797246136,2.999249098207493,4.194863261293502,2.6536499724994496,5.785711044631631,A,A,A,C,A
study 111,B,2.9668153455886,4.503843131960453,-0.017937041249722174,3.5010177728825917,5.019862060291408,C,B,B,B,B
study 60,A,2.0416094784180565,5.651612949856522,2.9829143872819026,5.901459064090688,4.436645809537294,A,B,A,B,A
study 71,A,0.5097455604067977,1.025267782788769,3.4319813923909877,4.5916127990862705,1.3914308856855322,A,A,A,A,B
study 44,A,-0.7846423125981503,2.2009398607484667,4.1753746028209395,3.742814762540299,6.076648113687234,A,B,A,B,B
study 8,A,2.8737109625366783,4.050254690908169,1.4849310910742635,2.865271500290449,6.5621708253250315,A,B,A,C,B
study 47,B,0.549859058143924,0.7335814722155065,1.4056354763203218,4.527618590312546,3.258321715764746,B,B,A,A,B
study 35,A,0.9699716509833568,1.126832609314358,3.8759324923172005,3.9560482851725967,5.907752974580737,C,A,B,C,A
study 78,A,1.5754179561818982,1.1179421323116876,0.14332163961462596,2.848256102189204,4.112709982523714,A,B,A,A,B
study 81,B,-0.36979835867241695,1.9578645298879667,4.9982836661411785,2.9262301880082022,4.4502062263893905,C,B,B,A,A
study 36,A,0.5767291314621266,1.669814479565045,3.3398879872392158,2.778291828332377,6.966140791045031,A,A,B,B,B
study 50,B,2.29797535303057,1.1093070166155132,5.338081819265155,2.511166579354181,3.5140484146789794,B,B,A,B,B
study 104,A,2.1461441177444125,0.551363876590611,1.3693914351457306,5.401050639958504,3.5117783169601697,A,A,B,B,B
study 4,B,2.1596608100428565,3.2179104925929374,2.345460796922639,5.199090037930658,7.707251548465997,C,B,B,C,B
study 2,A,-0.7327696267106476,4.006746531449176,-0.6118024903903283,5.40351168457869,4.781664952195425,C,A,B,B,A
study 6,B,0.6451294739062886,4.224072191258623,1.8064653555070858,4.006749323152786,6.869818389846602,B,A,A,B,A
study 54,A,0.40540924742829265,1.2783896639232735,2.724229678917181,3.6360568182997652,2.6019457072565984,C,B,A,A,A
study 106,A,1.6377682634120525,3.280587008385916,0.05593862998734522,3.663426835162995,2.7220950956137204,C,B,A,B,A
study 4,A,1.5034869844733465,2.354488854091663,2.4080597817024008,5.531652359359162,3.6305832266323685,A,A,A,B,B
study 54,B,1.2331409961144049,1.143992977080012,0.0189897347096335,1.2697782670062567,4.277808835200966,C,A,A,B,A
study 93,B,4.698600933129894,3.101327328062294,2.613809722632862,3.228270844963866,2.895070105020332,A,B,A,B,A
study 63,B,0.5637908797839435,1.0750924189317546,4.720667890662355,2.668981558743374,5.553944714645,B,B,A,A,B
study 18,A,0.3882653708971836,1.4357350958274673,2.947530374828816,6.039831319882612,5.651891252985173,C,B,B,B,A
study 90,B,-0.735124505504084,-0.06509455375544482,5.4873110589177045,3.2838137148293223,3.6527856832421937,A,B,B,A,A
study 44,A,-1.3067709888933057,1.3036683538501612,4.179438845091915,1.5460167468403387,3.772101950913797,C,A,A,C,A
study 34,A,-0.830476065823663,2.3807918135218773,5.0222217729104575,4.335135463370184,3.969827849222658,A,A,B,B,A
study 74,A,-0.07802288816491965,4.353401743516243,1.8525821386825745,3.444828707659129,3.2526713016604383,B,A,A,B,B
study 62,B,2.9651096416567793,1.46975683069747,1.8162875574110966,3.164606788472557,0.6566634500331237,A,B,A,B,B
study 100,A,1.0587458565427883,0.4427462793695991,3.5184201245780526,3.0099520649112588,4.872439540782702,C,B,A,A,A
study 14,A,1.2899960004291,4.246053456401187,0.6334468625507115,2.9507728312587895,4.3543434609485345,A,A,B,B,B
study 95,B,0.855590037696855,1.2431713443736734,3.7067156246431354,5.062840472284967,4.50778123276014,C,A,A,B,A
study 48,A,1.547951489532683,-0.6225724842112976,2.5141202751796055,4.335681049836765,3.482294718486842,B,A,A,C,A
study 15,A,3.1031082208267646,2.199640602705176,4.994995256319985,3.703051366554206,6.2157462487254005,A,A,A,A,A
study 72,A,-1.9908962544020539,1.5128397900812374,4.019268381119115,2.3526416847304956,8.638087384125622,C,A,A,A,B
study 78,A,2.8275059733780705,5.450593464027757,4.645059645510191,3.746660014918119,3.7488727159682664,C,A,B,C,B
study 87,A,-2.77255767880251,2.7130490515208185,1.8686908779074292,4.390941786400039,7.099544208458522,C,B,A,A,B
study 62,A,1.0423040672828914,1.7804864695177458,4.572315403142592,4.447981672389235,5.549974718220941,A,A,B,B,B
study 40,B,4.287861032116623,0.613254186116595,5.167068741546425,4.241326574487654,5.053129837673651,A,A,B,B,B
study 85,A,2.020986909297316,2.495250261789451,2.941929264929489,2.6161109997587078,4.483815895155753,A,A,A,C,B
study 80,A,1.5595884029809548,4.185064925092691,1.8909740709502678,0.3952351111119712,4.8751746946490115,B,A,A,A,A
study 109,B,4.00291895020446,2.4677212752158906,1.917319198148386,6.6994281400779006,6.72438603454794,C,A,B,A,B
study 82,A,-0.05459434700171584,0.7288554618230814,4.858519488023948,2.035544688837203,3.2928785585652314,C,A,B,A,A
study 111,A,1.6509511336975713,2.808209317627931,7.026518613634967,1.0525630619995923,4.587489903272823,B,A,B,C,A
study 53,A,1.8671756462108395,1.9270896576907768,1.527532394737167,4.195773419506144,6.873500311733754,B,B,B,B,B
study 24,A,0.21639679865946138,2.6729196549772434,1.4122199249361596,1.4372222451539187,6.475572040291996,A,A,A,C,A
study 26,A,0.3488347307560292,1.4677889747236694,4.382121271011718,2.792801877137672,3.316121091574635,A,B,B,B,A
study 89,B,0.1843308501649905,1.432557088608182,1.8691297059500334,4.823275638713242,4.726112183328432,A,B,B,C,A
study 60,B,1.1309724610128458,1.3733303038523303,4.527533076342404,6.659030902711069,6.092011771751041,A,B,B,B,B
study 109,A,1.8200374086569695,3.4133572272460424,3.6980192602899686,4.581267712408565,5.995142178981645,A,A,B,A,B
study 41,A,1.1848454093719933,1.447662087138363,2.964034046253054,3.34126109368468,6.462701781864932,A,A,A,A,A
study 29,A,2.0641927261447828,1.3104039029386594,3.6619073017825317,3.922870668389737,5.576428832250946,B,A,A,A,B
study 15,B,-1.9537209289603212,0.5869011476564503,3.570297553730091,1.2871210642376463,5.827929721993676,B,A,A,C,A
study 45,A,0.672623254385745,2.681020702575151,2.7305902533207367,3.323871836252275,5.514194632890738,B,A,B,C,B
study 65,A,-0.5351289655259692,2.467552703196828,0.36545845254225817,3.3253275941095835,7.369599616291836,C,A,B,C,A
study 89,A,1.4525837690243475,1.3268476632670536,3.2679760928835524,4.22999299320577,4.367283230853173,C,A,A,A,A
study 71,A,1.430376143008485,0.9359319386632086,5.3595905490962465,6.913284419040656,5.072286744417826,A,A,A,B,B
study 9,B,0.826566827563817,4.814260119841568,0.5868470051932149,1.0948070669016414,3.477546751523436,B,A,B,A,B
study 88,A,1.7654185157981068,-0.820664582687257,1.5513224697915828,3.38848358263827,3.181967349793381,C,A,A,A,B
study 1,B,2.4967190773960413,2.7397580048025816,3.6402404621490163,1.2497356840122311,5.487435051587571,C,B,B,B,B
study 108,A,0.9092192165405372,3.9371053223240122,3.057887794098421,3.2449538601242383,3.9137206010872214,B,A,B,B,B
study 8,B,-0.577542332149553,-3.08022064223245,3.6167732393764336,2.70309678832301,4.913471595653966,C,A,B,B,A
study 88,A,-1.3718863563792212,3.191210090114269,1.951022688258507,1.7584805387479001,7.426623965786314,C,A,B,B,A
study 63,A,1.0541652629951923,1.6696180977558677,4.743687429888459,5.369638045794669,7.339906553559231,B,B,B,A,A
study 11,B,1.3628000522703112,2.384082296424889,3.0703508485353166,4.383471555775644,8.33606716803245,C,A,B,C,B
study 115,B,-0.4542858342799685,1.5151430532168648,4.045478283514585,5.193783444481069,7.456478762598682,B,A,A,A,B
study 81,B,2.088650234744549,3.6130901684691157,3.4804161164566443,3.2025192629987584,8.604527287678234,C,B,A,B,A
study 8,A,0.3115646712631398,2.5446790125070358,3.2632424519414887,3.8939252863298757,5.6547945017188415,B,A,A,C,A
study 35,B,-1.4846492977567256,2.197579834301474,3.9402504855421947,6.391960961824472,3.6454691260331247,C,B,B,C,A
study 35,A,2.8846545135177837,0.6517090895621105,3.2797319309504256,3.995919707336331,3.49941114577178,C,B,A,A,A
study 33,B,2.7159818788032446,4.823438350751283,1.2147014578567321,5.211934823739162,7.094495911162279,B,B,B,A,B
study 5,A,-2.023399154994647,2.0148965295999064,4.631035238573947,3.0738155459249064,5.0774397542156295,C,B,B,A,A
study 106,B,0.15609957751946146,5.434708696190688,4.227190929372275,5.074026015046391,5.1891972737690235,B,A,B,C,B
study 103,B,0.09762447787858552,4.891354077767293,-0.16027558703671474,3.176620960292048,4.17639336806928,B,B,B,C,A
study 41,B,3.459232989126254,-0.6675264508980714,2.018699572686484,1.1553664359104912,4.356239090526076,C,B,A,C,B
study 28,A,0.8510609349375156,1.0175810587959648,4.56354069373921,3.9886256681184373,5.575638934665388,A,A,A,B,B
study 7,A,-1.2438172970831265,0.44457349103758714,0.2596071802832496,3.294545286094057,3.417164764813945,C,A,A,B,B
study 73,B,2.3231571733613174,1.9276908777694064,4.415350322851117,1.562827960904107,5.385707698712143,A,A,B,A,B
study 72,A,-0.8461633186491215,2.280746030729243,2.788166196518624,4.2872392775097605,7.266620292702694,A,B,A,C,A
study 12,B,0.6094892639173581,2.3448897018401453,5.010423855500987,2.6597102725700177,1.7995462375117688,C,A,A,A,A
study 34,B,-0.1546533168213151,3.581193014028468,2.9982798163868045,8.638961917694022,2.6880321828843297,A,B,A,C,A
study 33,A,0.15931735258008994,4.240374153963304,1.9168980105065585,1.8033366498794985,6.013414942254587,B,B,B,A,B
study 48,B,2.4058871343459085,3.451231623857958,3.462128491138711,2.1806125863247905,7.045951810491294,B,A,A,B,A
study 119,A,3.2819952419982483,1.15859717866438,2.9544217657350207,5.304326659971686,4.265160904790477,A,A,B,C,A
study 23,B,-0.9115531195690676,0.8269642023388408,1.783723298788979,3.8004671790398667,2.002639077433192,B,A,A,B,A
study 62,B,1.9391146382617257,2.0041427538259047,6.32751522451708,5.273803463893327,7.147886260911128,C,A,B,C,B
study 88,A,-0.09913044453499387,2.639179289606992,1.543352727623528,4.570586580846851,3.7834022721282135,B,A,A,A,B
study 37,A,-0.052507865036113266,1.7252129814243167,-0.3644330625896912,3.126539308103227,4.4581304856085815,A,A,A,C,B
study 99,B,1.7359543321340718,-0.0182272543783335,5.372548452182238,1.931361410380552,5.478567308479665,C,B,A,B,A
study 44,A,-0.5418541485705424,3.023089262865201,2.1246547915261105,5.606624621092048,4.000349942133864,B,B,B,C,A
study 104,A,1.705903901162567,1.411527846899145,2.5548401085514567,2.0673247216160506,3.6858054092642076,C,A,A,A,A
study 86,A,2.0951700347646027,1.3662308983669351,2.463140903056449,4.838358941746241,3.7132997111538666,A,B,A,C,B
study 91,A,0.35120160745147233,1.918080988912861,2.145522848762511,5.378498135885273,7.786892841391525,B,B,B,B,A
study 35,A,2.9906171530204997,1.6401516243797585,1.850711293104831,3.8096232939550587,6.739420382637922,C,B,B,A,B
study 65,A,-0.9092369180922604,1.450248416731848,1.5047740462545534,3.5437786964682956,5.861776010925773,C,B,B,B,B
study 99,A,3.0181092859175083,0.07981203960021577,3.0971396425568485,2.5244108430084697,1.7203501613981507,B,B,B,C,B
study 101,B,-1.9159811442276995,1.8316287995725118,2.3970186634865476,4.6941140750564525,5.86728784258338,C,B,A,B,B
study 47,A,5.0495712106292645,3.0544306878603016,4.09554328550092,-0.5688932466224177,5.786300312614204,C,A,A,C,A
study 78,A,0.3906966420672511,2.3969660076819332,3.724041077424231,5.073589508585216,3.0828002897222513,A,A,B,A,A
study 3,A,-0.7434607345814266,3.4221821586509673,1.6087317097118936,4.179214511463571,5.388065200210749,A,A,A,B,B
study 1,A,0.6509921372200022,0.9071824665199897,3.1627819141085345,3.6657764504204766,6.577238744388033,A,B,B,B,A
study 5,A,-0.5697169139366425,0.08291228132329764,2.37324251381797,4.3634534119957715,5.85404887789066,A,A,A,C,B
study 90,B,1.5804479482818135,1.6312250315330052,1.5125093360495017,1.9396654121018067,3.979745897449661,A,A,B,B,A
study 119,B,3.051485997205221,1.0786450721769545,4.034147355772699,0.3805109678861758,5.01989696462596,A,A,A,B,A
study 14,A,-0.49018433908501624,1.234497525188378,2.8180120810374527,4.702862604930942,6.0955353968017985,B,B,B,A,B
study 103,B,1.8690988587610051,2.317624577121691,2.3886749697442813,5.9748192582770345,5.089178051326474,A,A,B,C,B
study 27,B,-1.2991030533436394,1.2453791913430168,1.7166491453650812,1.3908970420948945,6.881427333660342,C,B,A,C,B
study 9,A,2.5494320998429187,0.12489726619040864,1.4580948583899915,2.4212798845053807,5.593522335260163,B,A,A,A,B
study 79,B,1.6243545503913932,1.1615079081770028,5.983152035871819,5.128487339541155,6.129383997931746,C,A,A,A,A
study 15,B,2.6142749819954805,2.510089050291202,3.5011779744449947,4.538334639920278,6.23210097048764,A,A,B,C,B
study 90,A,0.8164796460383419,3.007220901510376,1.363306444195775,8.444662684460063,3.3999759450412057,A,B,A,A,A
study 42,A,0.3472651032178723,2.9921341761250204,3.4317988474842194,5.613486203238848,5.074979053035019,C,B,B,A,B
study 77,B,2.2241761540859994,2.6367096413718643,4.593024265193306,5.253136707839572,4.5014682897215526,C,B,A,A,A
study 51,B,-0.9620727823376278,1.7478598010521336,3.2512764187950633,2.854316950007676,6.565768992210618,C,B,A,C,B
study 63,A,-1.6142364976003627,2.6073711484386943,5.061032013199687,4.787208694586024,5.694849570056037,B,B,B,A,A
study 96,B,0.9925570239399428,1.9364965127026443,0.6857802868950493,6.2431204937130556,4.717681306841614,A,A,B,B,A
study 103,B,0.4156050897118113,2.1696442067303563,0.013016928929683758,3.7534138523906417,3.077222894836005,C,A,A,B,A
study 113,B,1.830749997672319,0.5910098932010903,3.39077613278063,3.824178139394302,2.6046375018191883,A,B,B,C,B
study 52,B,2.6373271364709954,2.065812445641073,3.414744215060825,4.212030289910399,5.465513929917431,C,B,B,A,B
study 96,B,1.7995211187267084,2.5679993513771175,-2.009250267381363,3.0032519777916478,3.92418098414981,A,A,A,B,B
study 4,A,2.517854967740118,2.511690970159563,2.064635863196977,4.403445271184971,5.999189702145849,B,B,B,C,B
study 94,A,1.4815784999982458,0.06872146091105202,1.4870065284248173,4.365958207413522,2.5352896023856606,A,A,A,B,A
study 101,B,1.7418936224816477,2.1443911646050737,0.9120806389452651,6.219979619770985,7.389426797313336,C,B,A,A,A
study 23,B,0.8250141852515938,-0.1658343661958699,1.4834373530852836,3.7159113362339453,5.995796134897512,A,A,B,C,A
study 103,A,1.6975681915227732,2.2605149692077893,3.8936817023990393,5.01209281909526,5.148777634966591,B,B,A,B,B
study 109,A,1.24997924284527,0.9479942125959289,1.4738924680654375,3.7606520770119234,7.524588404604097,B,B,B,C,A
study 15,B,1.4877651947935957,4.558464413788167,1.5253167981272375,4.9596391626733665,6.4226269013317046,A,A,A,B,A
study 43,A,0.7499139503697416,2.178864993943835,0.5717920367134814,3.6249123163121535,4.287495142074434,C,A,B,B,B
study 29,B,2.213393800706947,3.201746029735884,4.903364463773739,4.86020948041781,5.116364464667494,B,B,B,A,B
study 36,B,-0.06567882475242737,5.1663089555364206,3.6519485482059517,5.092353743632672,2.0535885502778815,B,B,B,A,A
study 13,B,0.9724764686438402,0.7738972833669184,-0.738534304354352,2.4000158004132865,6.596285465823277,A,A,B,B,B
study 32,A,2.9676758503113634,2.653512366358867,1.5266398811652202,5.653563131005901,4.556072483012417,B,B,B,C,B
study 71,A,-0.42308273438168786,0.2211334861507308,3.792776826592389,3.7502839195779676,2.034162732141527,B,A,A,C,B
study 59,A,-2.2427681926289464,2.517345512374879,4.9220888234742555,3.295304958060776,3.227242145886513,C,A,A,A,B
study 115,A,1.549685749446958,4.6485638996756045,4.2612581390499855,2.934987832494967,6.306368072674115,C,B,B,B,A
study 86,A,0.614568264469751,1.0581751783373161,2.4664756346131718,4.447300417147361,7.42070407255423,C,A,A,A,A
study 28,A,2.516293360557759,0.6710685300581058,0.10293470881044264,3.9930674666447166,5.03063827837713,A,A,B,B,A
study 66,A,0.8042273801545093,1.8632386497221551,4.305373490866966,4.556210778312529,3.5269229870106598,B,B,B,B,A
study 42,A,0.09349139265503226,5.068725932132429,2.5546547230192433,4.585331176477719,2.8688754654813473,A,A,A,A,A
study 45,A,0.88627390627268,3.1565583799298826,3.103293021922605,4.912876968025268,7.1219219272116625,B,A,A,C,B
study 62,A,2.639602879919816,0.6426280219159843,2.733869342687255,8.164426174229588,5.674201667670841,B,A,B,A,A
study 57,A,1.863054440788563,4.182590873722654,0.9667057506355983,4.059537635997776,4.50479056903288,B,A,B,B,A
study 117,B,-2.650853384822052,-0.48259448849977993,3.5463753183344835,2.89813992014114,4.147592320886689,C,B,B,A,B
study 6,B,1.278651238130157,5.2048386932040875,3.3396885466701702,0.9702800014926494,6.0077444566004425,A,A,B,C,B
study 28,A,1.3536431986021074,3.2846760200227383,2.3613167356278026,2.2070248027141206,5.96647774110704,A,B,B,C,B
study 28,B,0.972625052199221,4.645336160010077,3.7066586997937305,5.853022976129366,3.655123379816082,B,A,B,B,A
study 108,A,0.08366516264711621,-0.4716971625760529,0.9390006788650411,5.079886760159661,3.2864412636485865,A,B,A,A,B
study 44,B,2.7917978117596665,2.2541627462895297,2.5964958361753365,1.9750209302275095,3.3621459564297584,C,A,B,C,B
study 84,A,2.8660509222022927,1.7991666101514263,3.039191209403683,7.696318661498831,4.297663129288465,A,B,B,A,B
study 30,B,-2.304740691238793,0.4895307898300385,0.39760855179740684,4.490146716492263,3.9653218196258653,B,A,A,C,A
study 62,B,-0.1969392166121664,0.05596456962291185,2.91435508374592,4.690475079820509,7.427138027254348,C,A,B,B,B
study 75,B,0.7829040230714199,2.7606218881393234,4.100467720021944,7.3663377699041215,4.244329066610842,C,A,B,B,B
study 119,B,2.422762305575005,2.896597562170436,2.5451536139356983,6.60918358124232,3.1255003280754052,B,A,A,A,A
study 92,A,1.0522793145876495,3.949961070088629,2.9488276462284833,5.171706213748241,3.209753838650709,A,B,B,B,B
study 89,A,-0.02539070024738499,1.2448684200097537,3.8435160588512502,5.243820911239383,4.724042598437607,B,B,A,C,A
study 103,B,2.064300365961062,1.787585284766285,2.418299836700591,5.3841776442563,2.266813815531739,A,A,B,B,A
study 62,A,0.6829958716735113,-0.07368988741913762,2.5533039006835665,3.638549302431976,4.909818929206406,A,B,A,C,B
study 97,B,0.8238987112675604,4.3111787179921235,1.2349447282012993,4.430189346316296,2.9956857492776536,C,A,A,C,A
study 1,A,0.9592623498938857,2.1043221316358647,2.977594834018852,4.861480741112069,6.737915550112552,B,A,A,B,B
study 27,A,1.861462661257726,3.083882752430158,2.4977272745928296,3.8098261084323823,5.174843523862918,C,B,B,C,B
study 62,A,0.5371755974893191,3.136858094166518,3.7486346925799836,2.5518707354266708,8.181535402298666,B,B,B,C,B
study 116,A,2.030419738970833,4.188660735952967,3.8451899312748585,3.600804398036998,4.657699130746684,B,B,A,A,B
study 77,B,0.8903965473893909,0.7529007990988199,4.186813558519321,2.518101088141119,0.3023842490446196,C,A,A,A,A
study 105,A,-0.6005248796268141,3.0463799005207672,2.2376094736573036,4.096558856308346,7.186521800534306,B,A,B,A,B
study 3,A,0.9448355414568278,1.9624869405364378,-0.2648716284361736,1.3293142719902304,5.752884737715602,B,B,B,B,B
